2025-10-25 23:01:24,638 | INFO | Python 3.9.6 (default, Aug  8 2025, 19:06:38) 
[Clang 17.0.0 (clang-1700.3.19.1)]
2025-10-25 23:01:24,639 | INFO | Project root: /Users/primeiscrime/Desktop/customer
2025-10-25 23:01:24,640 | INFO | Outputs: /Users/primeiscrime/Desktop/customer/outputs
2025-10-25 23:01:24,654 | INFO | Loading CSV from /Users/primeiscrime/Desktop/customer/data/transaction-dataset.csv
2025-10-25 23:01:24,807 | INFO | Loaded shape: (200000, 10)
2025-10-25 23:01:24,976 | INFO | Date range: 2023-01-01 to 2023-11-26
2025-10-25 23:01:25,078 | INFO | Split windows: train>=2023-01-01 val>=2023-06-29 test>=2023-08-28 last_anchor=2023-10-27
2025-10-25 23:01:25,164 | INFO | Anchors: train=23962 val=16693 test=16794
2025-10-25 23:01:54,353 | INFO | Positives (train/val/test): 0.175 / 0.253 / 0.253
2025-10-25 23:03:05,879 | INFO | Feature shapes: X_train=(23962, 20), X_val=(16693, 20), X_test=(16794, 20)
2025-10-25 23:03:05,991 | INFO | VAL ROC-AUC=0.688 PR-AUC=0.475 Recall@10%=0.238
2025-10-25 23:03:05,999 | INFO | TEST ROC-AUC=0.697 PR-AUC=0.488 Recall@10%=0.240
2025-10-25 23:03:06,182 | INFO | Saved curves to /Users/primeiscrime/Desktop/customer/outputs/curves_val.png
2025-10-25 23:03:06,331 | INFO | Saved curves to /Users/primeiscrime/Desktop/customer/outputs/curves_test.png
2025-10-25 23:04:22,615 | INFO | Loading CSV from /Users/primeiscrime/Desktop/customer/data/transaction-dataset.csv
2025-10-25 23:04:22,750 | INFO | Loaded shape: (200000, 10)
2025-10-25 23:04:22,762 | INFO | Date range: 2023-01-01 to 2023-11-26
2025-10-25 23:06:16,976 | INFO | Python 3.9.6 (default, Aug  8 2025, 19:06:38) 
[Clang 17.0.0 (clang-1700.3.19.1)]
2025-10-25 23:06:16,977 | INFO | Project root: /Users/primeiscrime/Desktop/customer
2025-10-25 23:06:16,978 | INFO | Outputs: /Users/primeiscrime/Desktop/customer/outputs
2025-10-25 23:06:16,995 | INFO | Loading CSV from /Users/primeiscrime/Desktop/customer/data/transaction-dataset.csv
2025-10-25 23:06:17,127 | INFO | Loaded shape: (200000, 10)
2025-10-25 23:06:17,139 | INFO | Date range: 2023-01-01 to 2023-11-26
2025-10-25 23:06:17,351 | INFO | Split windows: train>=2023-01-01 val>=2023-06-29 test>=2023-08-28 last_anchor=2023-10-27
2025-10-25 23:06:17,443 | INFO | Anchors: train=23962 val=16693 test=16794
2025-10-25 23:06:49,563 | INFO | Positives (train/val/test): 0.175 / 0.253 / 0.253
2025-10-25 23:08:01,598 | INFO | Feature shapes: X_train=(23962, 20), X_val=(16693, 20), X_test=(16794, 20)
2025-10-25 23:08:01,703 | INFO | VAL ROC-AUC=0.688 PR-AUC=0.475 Recall@10%=0.238
2025-10-25 23:08:01,711 | INFO | TEST ROC-AUC=0.697 PR-AUC=0.488 Recall@10%=0.240
2025-10-25 23:08:01,886 | INFO | Saved curves to /Users/primeiscrime/Desktop/customer/outputs/curves_val.png
2025-10-25 23:08:02,032 | INFO | Saved curves to /Users/primeiscrime/Desktop/customer/outputs/curves_test.png
2025-10-25 23:09:34,070 | INFO | [REFINED] Feature shapes: X_train=(23962, 20), X_val=(16693, 20), X_test=(16794, 20)
2025-10-25 23:11:14,592 | INFO | VAL ROC-AUC=0.687 PR-AUC=0.474 Recall@10%=0.235
2025-10-25 23:11:14,604 | INFO | TEST ROC-AUC=0.696 PR-AUC=0.488 Recall@10%=0.242
2025-10-25 23:12:48,167 | INFO | [REFINED] Feature shapes: X_train=(23962, 20), X_val=(16693, 20), X_test=(16794, 20)
2025-10-25 23:12:48,203 | INFO | VAL-REFINED ROC-AUC=0.687 PR-AUC=0.474 Recall@10%=0.235
2025-10-25 23:12:48,213 | INFO | TEST-REFINED ROC-AUC=0.696 PR-AUC=0.488 Recall@10%=0.242
2025-10-25 23:30:57,183 | INFO | Python 3.9.6 (default, Aug  8 2025, 19:06:38) 
[Clang 17.0.0 (clang-1700.3.19.1)]
2025-10-25 23:30:57,184 | INFO | Project root: /Users/primeiscrime/Desktop/customer
2025-10-25 23:30:57,185 | INFO | Outputs: /Users/primeiscrime/Desktop/customer/outputs
2025-10-25 23:31:02,039 | INFO | Loading CSV from /Users/primeiscrime/Desktop/customer/data/transaction-dataset.csv
2025-10-25 23:31:20,326 | INFO | Loading CSV from /Users/primeiscrime/Desktop/customer/data/transaction-dataset.csv
2025-10-25 23:31:20,456 | INFO | Loaded shape: (200000, 10)
2025-10-25 23:31:20,469 | INFO | Date range: 2023-01-01 to 2023-11-26
2025-10-25 23:31:24,701 | INFO | Split windows: train>=2023-01-01 val>=2023-06-29 test>=2023-08-28 last_safe_snapshot=2023-10-27
2025-10-25 23:31:24,794 | INFO | Snapshots: train=23962 val=16693 test=16794
2025-10-25 23:31:56,220 | INFO | Positives (train/val/test): 0.175 / 0.253 / 0.253
2025-10-25 23:33:10,885 | INFO | Feature shapes: X_train=(23962, 20), X_val=(16693, 20), X_test=(16794, 20)
2025-10-25 23:33:18,562 | INFO | VAL ROC-AUC=0.688 PR-AUC=0.475 Recall@Top10%=0.238
2025-10-25 23:33:18,572 | INFO | TEST ROC-AUC=0.697 PR-AUC=0.488 Recall@Top10%=0.240
2025-10-25 23:33:23,901 | INFO | Saved curves to /Users/primeiscrime/Desktop/customer/outputs/curves_val.png
2025-10-25 23:33:24,065 | INFO | Saved curves to /Users/primeiscrime/Desktop/customer/outputs/curves_test.png
2025-10-25 23:35:02,460 | INFO | [REFINED] Feature shapes: X_train=(23962, 20), X_val=(16693, 20), X_test=(16794, 20)
2025-10-25 23:35:02,492 | INFO | VAL-REFINED ROC-AUC=0.688 PR-AUC=0.475 Recall@Top10%=0.238
2025-10-25 23:35:02,502 | INFO | TEST-REFINED ROC-AUC=0.697 PR-AUC=0.488 Recall@Top10%=0.240
